# ,P6 - Body Sizing Element Size [mm],P7 - Mesh Element Size [mm],P9 - Diameter [m],P10 - InwardThickness [m],P11 - Force 2 X Component [N],P12 - Force 2 Y Component [N],P2 - Total Deformation Maximum [mm],P4 - Equivalent Stress Maximum [MPa],P5 - Safety Factor Minimum,P8 - Solid Mass [kg]
DP 22,30,30,0.2301,0.008475,337,16319,105.829296,335.3882625,1.499754333,82.90574999
DP 24,30,30,0.2301,0.00848,337,16319,105.7834973,335.2413938,1.500411373,82.95279043
DP 25,30,30,0.2301,0.00849,337,16319,105.692068,334.9362941,1.501778126,83.04686468
DP 15,30,30,0.23,0.0085,337,16319,104.5924737,335.9521748,1.497236922,83.10341164
DP 20,30,30,0.2301,0.0085,337,16319,105.6008063,334.6328428,1.503139966,83.14093011
DP 19,30,30,0.2302,0.00851,337,16319,105.3837819,333.5219595,1.508146572,83.27254932
DP 7,30,30,0.23,0.00852,337,16319,104.412133,335.3688292,1.499841238,83.29142773
DP 18,30,30,0.2302,0.008515,337,16319,105.3383494,333.3702718,1.508832798,83.31959637
DP 13,30,30,0.23,0.008525,337,16319,104.3672196,335.2098625,1.500552508,83.33842623
DP 17,30,30,0.2302,0.00852,337,16319,105.2929551,333.2169339,1.509527124,83.36664123
DP 21,30,30,0.2302,0.00853,337,16319,105.202419,332.9228215,1.510860679,83.46072431
DP 14,30,30,0.23,0.00855,337,16319,104.1431101,334.4634187,1.503901389,83.57338565
DP 23,30,30,0.2302,0.00855,337,16319,105.0217508,332.3351723,1.513532247,83.64886399
DP 16,30,30,0.23,0.0086,337,16319,103.6982411,332.9958802,1.510529199,84.04313897
