# alpha,Cl,Cd,Cl/Cd
-8,-0.62,0.02163,-28.66389274
-7.75,-0.6022,0.0202,-29.81188119
-7.5,-0.5806,0.01953,-29.72862263
-7.25,-0.5581,0.01882,-29.65462274
-7,-0.5362,0.01756,-30.53530752
-6.75,-0.5135,0.01629,-31.52240638
-6.5,-0.4893,0.01532,-31.9386423
-6.25,-0.464,0.01494,-31.05756359
-6,-0.4417,0.0132,-33.46212121
-5.75,-0.4175,0.01246,-33.50722311
-5.5,-0.3924,0.012,-32.7
-5.25,-0.3674,0.01152,-31.89236111
-5,-0.3422,0.01109,-30.85662759
-4.75,-0.3163,0.01077,-29.36861653
-4.5,-0.2895,0.01062,-27.25988701
-4.25,-0.2674,0.00973,-27.48201439
-4,-0.2428,0.00923,-26.30552546
-3.75,-0.2166,0.00896,-24.17410714
-3.5,-0.19,0.00874,-21.73913043
-3.25,-0.163,0.00861,-18.93147503
-3,-0.1371,0.00826,-16.59806295
-2.75,-0.1103,0.00803,-13.73599004
-2.5,-0.0829,0.00789,-10.50697085
-2.25,-0.0562,0.00764,-7.356020942
-2,-0.0356,0.00651,-5.468509985
-1.75,-0.0169,0.00517,-3.268858801
-1.5,0.0088,0.00494,1.781376518
-1.25,0.0367,0.00493,7.444219067
-1,0.0646,0.00492,13.1300813
-0.75,0.092,0.00496,18.5483871
-0.5,0.1199,0.00502,23.88446215
-0.25,0.1481,0.00504,29.38492063
0,0.1757,0.00505,34.79207921
0.25,0.2038,0.00509,40.03929273
0.5,0.2317,0.00507,45.70019724
0.75,0.2593,0.00504,51.4484127
1,0.2873,0.00503,57.11729622
1.25,0.315,0.00503,62.62425447
1.5,0.3428,0.00503,68.15109344
1.75,0.3697,0.00503,73.49900596
2,0.3965,0.00505,78.51485149
2.25,0.4224,0.00514,82.17898833
2.5,0.4399,0.00584,75.32534247
2.75,0.4529,0.0071,63.78873239
3,0.4666,0.00833,56.01440576
3.25,0.4868,0.00906,53.73068433
3.5,0.5119,0.00935,54.7486631
3.75,0.5378,0.00953,56.43231899
4,0.5629,0.00976,57.67418033
4.25,0.585,0.01034,56.57640232
4.5,0.6112,0.0105,58.20952381
4.75,0.6358,0.01074,59.19925512
5,0.66,0.01104,59.7826087
5.25,0.6838,0.01141,59.92988606
5.5,0.7039,0.01208,58.26986755
5.75,0.7211,0.01315,54.8365019
6.25,0.7685,0.0138,55.6884058
6.5,0.7909,0.01431,55.26904263
6.75,0.8126,0.01497,54.28189713
7,0.8343,0.01553,53.72182872
7.25,0.8563,0.01618,52.92336218
7.5,0.8768,0.01684,52.06650831
7.75,0.897,0.01779,50.42158516
8,0.9157,0.02044,44.79941292
8.25,0.9369,0.02083,44.97839654
8.5,0.9645,0.02199,43.86084584
8.75,0.9884,0.02378,41.56433978
9,1.0064,0.02596,38.76733436
9.25,1.0232,0.02772,36.91197691
9.5,1.0375,0.02963,35.01518731
9.75,1.0544,0.03027,34.83316815
10,1.0711,0.0307,34.88925081
