Position,Pressure Coefficient,,,,,,
1.42441000,"	-0.518684",,,,,0.01921510,"	1.00825"
1.40731000,"	-0.517687",,,,,0.03551830,"	0.9817"
1.39034000,"	-0.517916",,,,,0.05243450,"	0.909078"
1.37352000,"	-0.518484",,,,,0.06968060,"	0.849707"
1.35683000,"	-0.51927",,,,,0.08715080,"	0.799115"
1.34029000,"	-0.520118",,,,,0.10478900,"	0.750948"
1.32390000,"	-0.521046",,,,,0.12255700,"	0.706953"
1.30766000,"	-0.522007",,,,,0.14043100,"	0.667327"
1.29158000,"	-0.523027",,,,,0.15839700,"	0.630983"
1.27562000,"	-0.524095",,,,,0.17644400,"	0.597375"
1.25977000,"	-0.525206",,,,,0.19456000,"	0.566133"
1.24401000,"	-0.526354",,,,,0.21273700,"	0.537129"
1.22831000,"	-0.527566",,,,,0.23096700,"	0.509892"
1.21264000,"	-0.528848",,,,,0.24924400,"	0.483949"
1.19695000,"	-0.530235",,,,,0.26756500,"	0.459207"
1.18121000,"	-0.531762",,,,,0.28592700,"	0.435198"
1.16529000,"	-0.533408",,,,,0.30432700,"	0.412038"
1.14911000,"	-0.534997",,,,,0.32276500,"	0.389677"
1.13262000,"	-0.536369",,,,,0.34123700,"	0.368311"
1.11582000,"	-0.537442",,,,,0.35974300,"	0.347585"
1.09872000,"	-0.538172",,,,,0.37827900,"	0.327427"
1.08138000,"	-0.538554",,,,,0.39684500,"	0.307762"
1.06385000,"	-0.538666",,,,,0.41543900,"	0.288501"
1.04618000,"	-0.538644",,,,,0.43406100,"	0.269565"
1.02837000,"	-0.538537",,,,,0.45270800,"	0.25091"
1.01046000,"	-0.53839",,,,,0.47138100,"	0.232398"
0.99245600,"	-0.538225",,,,,0.49008000,"	0.213968"
0.97435400,"	-0.53804",,,,,0.50880400,"	0.195723"
0.95616300,"	-0.537837",,,,,0.52755600,"	0.177804"
0.93789100,"	-0.537624",,,,,0.54633700,"	0.160336"
0.91954400,"	-0.537409",,,,,0.56514500,"	0.143242"
0.90112600,"	-0.537201",,,,,0.58398000,"	0.126373"
0.88264400,"	-0.537004",,,,,0.60284200,"	0.109658"
0.86410100,"	-0.536823",,,,,0.62173000,"	0.09313"
0.84549900,"	-0.536663",,,,,0.64064500,"	0.0768853"
0.82684000,"	-0.536525",,,,,0.65958700,"	0.0609801"
0.80812400,"	-0.536404",,,,,0.67855400,"	0.045244"
0.78935500,"	-0.536299",,,,,0.69754500,"	0.0294513"
0.77053900,"	-0.536211",,,,,0.71656000,"	0.0134372"
0.75167900,"	-0.536149",,,,,0.73559600,"	-0.00297096"
0.73277700,"	-0.536116",,,,,0.75465500,"	-0.0199356"
0.71383200,"	-0.536109",,,,,0.77373700,"	-0.0376471"
0.69484400,"	-0.536124",,,,,0.79284400,"	-0.0559071"
0.67581300,"	-0.536159",,,,,0.81198100,"	-0.0740875"
0.65674100,"	-0.536212",,,,,0.83115100,"	-0.0916844"
0.63763000,"	-0.536284",,,,,0.85035500,"	-0.108894"
0.61848000,"	-0.536375",,,,,0.86959000,"	-0.126578"
0.59928900,"	-0.536481",,,,,0.88885600,"	-0.14551"
0.58005800,"	-0.536597",,,,,0.90815900,"	-0.165292"
0.56078800,"	-0.536722",,,,,0.92750400,"	-0.184375"
0.54148300,"	-0.536859",,,,,0.94690000,"	-0.201626"
0.52214400,"	-0.537011",,,,,0.96634100,"	-0.218176"
0.50277000,"	-0.537179",,,,,0.98582500,"	-0.237557"
0.48336100,"	-0.537362",,,,,1.00535000,"	-0.261474"
0.46391600,"	-0.53756",,,,,1.02495000,"	-0.283019"
0.44443600,"	-0.537773",,,,,1.04467000,"	-0.287979"
0.42491800,"	-0.537999",,,,,1.06450000,"	-0.262543"
0.40536400,"	-0.538241",,,,,1.08441000,"	-0.210854"
0.38577700,"	-0.538504",,,,,1.10437000,"	-0.148884"
0.36615600,"	-0.538797",,,,,1.12435000,"	-0.0860745"
0.34650200,"	-0.539124",,,,,1.14431000,"	-0.0334552"
0.32681400,"	-0.53949",,,,,1.16422000,"	-0.00171498"
0.30709400,"	-0.539903",,,,,1.18405000,"	0.00952829"
0.28734200,"	-0.540372",,,,,1.20382000,"	0.00945435"
0.26756000,"	-0.540892",,,,,1.22354000,"	0.00665355"
0.24774900,"	-0.541514",,,,,1.24321000,"	0.00454301"
0.22790900,"	-0.542047",,,,,1.26284000,"	0.00139"
0.20803600,"	-0.542602",,,,,1.28241000,"	-0.00498381"
0.18812500,"	-0.542549",,,,,1.30192000,"	-0.0151449"
0.16817900,"	-0.541536",,,,,1.32137000,"	-0.0294344"
0.14819600,"	-0.54132",,,,,1.34074000,"	-0.0486504"
0.12818000,"	-0.542384",,,,,1.36004000,"	-0.0745112"
0.10813800,"	-0.54354",,,,,1.37926000,"	-0.108077"
0.08808840,"	-0.544361",,,,,1.39840000,"	-0.151684"
0.06806420,"	-0.565311",,,,,1.41748000,"	-0.205471"
0.04814750,"	-0.749041",,,,,1.42441000,"	-0.518684"
0.02863360,"	-1.15173",,,,,1.43649000,"	-0.2797"
0.01103490,"	-1.24802",,,,,1.44164000,"	-0.52185"
0.00000000,"	-0.252619",,,,,1.45546000,"	-0.36887"
0.00445773,"	0.808812",,,,,1.45900000,"	-0.528159"
0.01921510,"	1.00825",,,,,1.47438000,"	-0.520828"
0.01921510,"	1.00825",,,,,1.47648000,"	-0.530819"
0.03551830,"	0.9817",,,,,1.49410000,"	-0.578645"
0.05243450,"	0.909078",,,,,,
0.06968060,"	0.849707",,,,,,
0.08715080,"	0.799115",,,,,,
0.10478900,"	0.750948",,,,,,
0.12255700,"	0.706953",,,,,,
0.14043100,"	0.667327",,,,,,
0.15839700,"	0.630983",,,,,,
0.17644400,"	0.597375",,,,,,
0.19456000,"	0.566133",,,,,,
0.21273700,"	0.537129",,,,,,
0.23096700,"	0.509892",,,,,,
0.24924400,"	0.483949",,,,,,
0.26756500,"	0.459207",,,,,,
0.28592700,"	0.435198",,,,,,
0.30432700,"	0.412038",,,,,,
0.32276500,"	0.389677",,,,,,
0.34123700,"	0.368311",,,,,,
0.35974300,"	0.347585",,,,,,
0.37827900,"	0.327427",,,,,,
0.39684500,"	0.307762",,,,,,
0.41543900,"	0.288501",,,,,,
0.43406100,"	0.269565",,,,,,
0.45270800,"	0.25091",,,,,,
0.47138100,"	0.232398",,,,,,
0.49008000,"	0.213968",,,,,,
0.50880400,"	0.195723",,,,,,
0.52755600,"	0.177804",,,,,,
0.54633700,"	0.160336",,,,,,
0.56514500,"	0.143242",,,,,,
0.58398000,"	0.126373",,,,,,
0.60284200,"	0.109658",,,,,,
0.62173000,"	0.09313",,,,,,
0.64064500,"	0.0768853",,,,,,
0.65958700,"	0.0609801",,,,,,
0.67855400,"	0.045244",,,,,,
0.69754500,"	0.0294513",,,,,,
0.71656000,"	0.0134372",,,,,,
0.73559600,"	-0.00297096",,,,,,
0.75465500,"	-0.0199356",,,,,,
0.77373700,"	-0.0376471",,,,,,
0.79284400,"	-0.0559071",,,,,,
0.81198100,"	-0.0740875",,,,,,
0.83115100,"	-0.0916844",,,,,,
0.85035500,"	-0.108894",,,,,,
0.86959000,"	-0.126578",,,,,,
0.88885600,"	-0.14551",,,,,,
0.90815900,"	-0.165292",,,,,,
0.92750400,"	-0.184375",,,,,,
0.94690000,"	-0.201626",,,,,,
0.96634100,"	-0.218176",,,,,,
0.98582500,"	-0.237557",,,,,,
1.00535000,"	-0.261474",,,,,,
1.02495000,"	-0.283019",,,,,,
1.04467000,"	-0.287979",,,,,,
1.06450000,"	-0.262543",,,,,,
1.08441000,"	-0.210854",,,,,,
1.10437000,"	-0.148884",,,,,,
1.12435000,"	-0.0860745",,,,,,
1.14431000,"	-0.0334552",,,,,,
1.16422000,"	-0.00171498",,,,,,
1.18405000,"	0.00952829",,,,,,
1.20382000,"	0.00945435",,,,,,
1.22354000,"	0.00665355",,,,,,
1.24321000,"	0.00454301",,,,,,
1.26284000,"	0.00139",,,,,,
1.28241000,"	-0.00498381",,,,,,
1.30192000,"	-0.0151449",,,,,,
1.32137000,"	-0.0294344",,,,,,
1.34074000,"	-0.0486504",,,,,,
1.36004000,"	-0.0745112",,,,,,
1.37926000,"	-0.108077",,,,,,
1.39840000,"	-0.151684",,,,,,
1.41748000,"	-0.205471",,,,,,
1.42441000,"	-0.518684",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
