P15 - Vertical [m],P16 - Angle of Attack [degree],P6 - xForce [N],P7 - Mesh Elements,P8 - yForce [N],P13 - lift-coefficient-op,P14 - drag-coefficient-op,P17 - drag-force-op [N],P18 - lift-force-op [N]
3,0,2.42865,1581,65.4643,0.51796011,0.019215675,76.021897,2008.7611
4,0,3.14623,1864,84.0827,0.49895296,0.018669954,76.021897,2008.7611
5,0,3.88371,2165,103.61,0.49186461,0.018436989,76.021897,2008.7611
6,0,4.61956,2415,122.648,0.48520211,0.018275219,76.021897,2008.7611
7,0,5.36498,2709,141.324,0.47921636,0.018192087,76.021897,2008.7611
7.5,0,5.7217,2847,151.513,0.47951556,0.018108269,76.021897,2008.7611
8.5,0,6.46862,3059,171.135,0.47789477,0.018063653,76.021897,2008.7611
9,0,6.83449,3229,180.958,0.47725202,0.018025047,76.021897,2008.7611
9.5,0,7.21591,3319,190.557,0.47611819,0.018029361,76.021897,2008.7611
10,0,7.60227,3493,200.856,0.47675876,0.018044959,76.021897,2008.7611
10.5,0,7.94958,3614,210.134,0.47502773,0.017970819,76.021897,2008.7611
11,0,8.31191,3743,220.313,0.47540151,0.017935795,76.021897,2008.7611
11.5,0,8.72431,3845,229.842,0.4744006,0.018007186,76.021897,2008.7611
12,0,9.12018,3994,239.386,0.47351139,0.018039931,76.021897,2008.7611
12.5,0,9.46638,4150,249.697,0.47415006,0.017975729,76.021897,2008.7611
